prediction_level,Fplus_count,Fminus_count
0.0000,3,0
0.1000,3,0
0.2000,3,0
0.3000,3,0
0.4000,3,0
0.5000,3,0
0.6000,3,0
0.7000,3,0
0.8000,3,0
0.9000,0,0
1.0000,0,0
1.1000,0,0
1.2000,0,1
1.3000,0,1
1.4000,0,1
1.5000,0,1
1.6000,0,1
